product,fitness,box_map50_95,mask_map50_95
Nurofen_Liquid_Capsules_200_16_pil_new,1.47494,0.74455,0.73039
Nurofen_For_Children_20Mg_Orange,1.59204,0.80018,0.79186
EMPTY_PUSHER_PRODUCT,1.62256,0.92274,0.69982
Advil_Liqui-Gels_200_16_pil,1.71787,0.89610,0.82177
Nurofen_For_Children_20Mg_Strawberry,1.74524,0.85495,0.89030
Otrivin,1.76999,0.88031,0.88969
Acomol_500_16_pil,1.77394,0.93009,0.84385
Dexamol_500_16_pil,1.83559,0.93640,0.89919
Otrivin_Mentol,1.86868,0.93698,0.93170
Voltaren_emulgel_1%,1.87423,0.94427,0.92996
Strepsils_honey_and_lemon,1.88134,0.93403,0.94731
Tums_Smoothies_EX_Berry_fusion,1.88839,0.95509,0.93330
Nurofen_Liquid_Capsules_200_10_pil_new,1.89325,0.97379,0.91946
Zovirax_Aciclovir_5%_ww,1.92254,0.95050,0.97205
Nurofen_Quick_Liquid_Capsules_256_16_pil,1.92399,0.98621,0.93778
Bepanthen_Plus_Cream_30G,1.93120,0.97419,0.95701
Agisten_Aloevera_Cream_01%,1.93196,0.98324,0.94872
Fenistil_Gel_0.1%,1.93496,0.97742,0.95754
Nerven_20_pil,1.95781,0.99703,0.96078
Acomol_Paracetamol_500_14_pil,1.96502,1.00000,0.96502
Rennie_Peppermint_48_pil,1.96741,1.00000,0.96741
Nurofen_Tablets_200_mg,1.97161,0.99524,0.97637
Lemocin_Lemon_24_pil,1.97785,1.00000,0.97785
