product,fitness,box_map50_95,mask_map50_95
Nurofen_Liquid_Capsules_200_16_pil_new,1.50271,0.75421,0.74849
Nurofen_For_Children_20Mg_Orange,1.58677,0.79883,0.78794
EMPTY_PUSHER_PRODUCT,1.64609,0.91575,0.73034
Otrivin,1.73477,0.86361,0.87116
Nurofen_For_Children_20Mg_Strawberry,1.73919,0.84846,0.89072
Acomol_500_16_pil,1.74019,0.91098,0.82921
Advil_Liqui-Gels_200_16_pil,1.74127,0.91090,0.83036
Dexamol_500_16_pil,1.82820,0.93984,0.88836
Strepsils_honey_and_lemon,1.85435,0.92827,0.92608
Otrivin_Mentol,1.86076,0.93707,0.92369
Tums_Smoothies_EX_Berry_fusion,1.90153,0.97232,0.92921
Zovirax_Aciclovir_5%_ww,1.91006,0.94402,0.96604
Agisten_Aloevera_Cream_01%,1.92592,0.98588,0.94004
Nurofen_Liquid_Capsules_200_10_pil_new,1.93278,0.99619,0.93659
Rennie_Peppermint_48_pil,1.94792,0.99588,0.95204
Voltaren_emulgel_1%,1.94842,0.97772,0.97071
Nurofen_Quick_Liquid_Capsules_256_16_pil,1.95041,1.00000,0.95041
Acomol_Paracetamol_500_14_pil,1.95305,0.99992,0.95312
Nerven_20_pil,1.95319,0.99703,0.95616
Bepanthen_Plus_Cream_30G,1.95537,0.98548,0.96989
Fenistil_Gel_0.1%,1.95583,0.98498,0.97086
Lemocin_Lemon_24_pil,1.97191,1.00000,0.97191
Nurofen_Tablets_200_mg,1.97370,0.99465,0.97905
