product,fitness,box_map50_95,mask_map50_95
Nurofen_Liquid_Capsules_200_16_pil_new,0.47525,0.23762,0.23762
Nurofen_For_Children_20Mg_Orange,1.60117,0.80671,0.79447
EMPTY_PUSHER_PRODUCT,1.63192,0.91021,0.72171
Advil_Liqui-Gels_200_16_pil,1.73805,0.90343,0.83462
Acomol_500_16_pil,1.76460,0.91335,0.85125
Otrivin,1.76532,0.87725,0.88807
Nurofen_For_Children_20Mg_Strawberry,1.78248,0.86818,0.91430
Dexamol_500_16_pil,1.84024,0.93732,0.90292
Strepsils_honey_and_lemon,1.87089,0.94131,0.92958
Voltaren_emulgel_1%,1.87472,0.94724,0.92748
Otrivin_Mentol,1.88099,0.94150,0.93949
Zovirax_Aciclovir_5%_ww,1.91424,0.93936,0.97488
Fenistil_Gel_0.1%,1.92153,0.97330,0.94823
Tums_Smoothies_EX_Berry_fusion,1.92439,0.97536,0.94902
Nurofen_Liquid_Capsules_200_10_pil_new,1.93036,0.98063,0.94973
Nurofen_Quick_Liquid_Capsules_256_16_pil,1.93795,0.98911,0.94884
Rennie_Peppermint_48_pil,1.94867,0.99525,0.95343
Agisten_Aloevera_Cream_01%,1.95536,0.99405,0.96131
Nerven_20_pil,1.96146,0.99683,0.96463
Acomol_Paracetamol_500_14_pil,1.96366,0.99894,0.96471
Bepanthen_Plus_Cream_30G,1.96948,0.99319,0.97629
Lemocin_Lemon_24_pil,1.97649,0.99270,0.98379
Nurofen_Tablets_200_mg,1.98911,0.99653,0.99258
