product,fitness,box_map50_95,mask_map50_95
ONE_RAW,0.00000,0.00000,0.00000
Bepanthen_Plus_Cream_30G,0.82574,0.43168,0.39406
Acomol_500_16_pil,1.45931,0.80129,0.65801
EMPTY_PUSHER_PRODUCT,1.46802,0.82013,0.64789
Advil_Liqui-Gels_200_16_pil,1.54710,0.79983,0.74727
Agisten_Aloevera_Cream_01%,1.57653,0.82033,0.75620
Nurofen_Liquid_Capsules_200_10_pil_new,1.59239,0.82195,0.77044
Rennie_Peppermint_48_pil,1.63157,0.77786,0.85371
Dexamol_500_16_pil,1.63707,0.79978,0.83729
Fenistil_Gel_0.1%,1.65160,0.85668,0.79492
Otrivin,1.68272,0.85574,0.82698
Nurofen_Liquid_Capsules_200_16_pil_new,1.73594,0.98218,0.75376
Nurofen_For_Children_20Mg_Orange,1.79010,0.91584,0.87426
Strepsils_honey_and_lemon,1.80744,0.88939,0.91806
Voltaren_emulgel_1%,1.81408,0.91680,0.89728
Otrivin_Mentol,1.83665,0.91729,0.91936
Lemocin_Lemon_24_pil,1.85939,0.96987,0.88952
Acomol_Paracetamol_500_14_pil,1.86558,0.94578,0.91980
Nurofen_For_Children_20Mg_Strawberry,1.88168,0.95644,0.92525
Tums_Smoothies_EX_Berry_fusion,1.92645,0.96535,0.96110
Nerven_20_pil,1.94257,1.00000,0.94257
Acomol_teva_10_caplets_500_mg,1.95000,0.95000,1.00000
Zovirax_Aciclovir_5%_ww,1.98119,1.00000,0.98119
Nurofen_Quick_Liquid_Capsules_256_16_pil,2.00000,1.00000,1.00000
Nurofen_Tablets_200_mg,2.00000,1.00000,1.00000
