product,fitness,box_map50_95,mask_map50_95
Nurofen_Liquid_Capsules_200_16_pil_new,1.55296,0.77996,0.77300
Nurofen_For_Children_20Mg_Orange,1.56482,0.78848,0.77634
EMPTY_PUSHER_PRODUCT,1.60835,0.91883,0.68952
Nurofen_For_Children_20Mg_Strawberry,1.60899,0.77894,0.83004
Otrivin,1.73264,0.85140,0.88124
Advil_Liqui-Gels_200_16_pil,1.73897,0.90946,0.82951
Acomol_500_16_pil,1.78032,0.92915,0.85117
Dexamol_500_16_pil,1.83140,0.93524,0.89616
Otrivin_Mentol,1.87708,0.94516,0.93192
Tums_Smoothies_EX_Berry_fusion,1.88169,0.95651,0.92518
Strepsils_honey_and_lemon,1.88588,0.93703,0.94886
Zovirax_Aciclovir_5%_ww,1.90649,0.93717,0.96932
Voltaren_emulgel_1%,1.91163,0.96057,0.95106
Fenistil_Gel_0.1%,1.91566,0.96737,0.94829
Nurofen_Liquid_Capsules_200_10_pil_new,1.91804,0.98873,0.92932
Agisten_Aloevera_Cream_01%,1.93198,0.98420,0.94778
Acomol_Paracetamol_500_14_pil,1.94239,0.99565,0.94674
Rennie_Peppermint_48_pil,1.94309,0.99588,0.94721
Nurofen_Quick_Liquid_Capsules_256_16_pil,1.94412,0.98972,0.95440
Bepanthen_Plus_Cream_30G,1.94821,0.97673,0.97147
Nerven_20_pil,1.95535,0.99534,0.96001
Lemocin_Lemon_24_pil,1.97624,1.00000,0.97624
Nurofen_Tablets_200_mg,1.98991,1.00000,0.98991
