product,fitness,box_map50_95,mask_map50_95
Nurofen_Liquid_Capsules_200_16_pil_new,1.60068,0.81116,0.78952
EMPTY_PUSHER_PRODUCT,1.60705,0.90458,0.70248
Nurofen_For_Children_20Mg_Orange,1.61649,0.81288,0.80361
Nurofen_For_Children_20Mg_Strawberry,1.65966,0.79627,0.86340
Otrivin,1.73088,0.86753,0.86334
Acomol_500_16_pil,1.73877,0.91343,0.82534
Advil_Liqui-Gels_200_16_pil,1.75484,0.91581,0.83903
Dexamol_500_16_pil,1.82160,0.93921,0.88239
Strepsils_honey_and_lemon,1.87954,0.94640,0.93314
Otrivin_Mentol,1.87967,0.94357,0.93611
Voltaren_emulgel_1%,1.89206,0.95512,0.93695
Zovirax_Aciclovir_5%_ww,1.89580,0.93587,0.95993
Tums_Smoothies_EX_Berry_fusion,1.90925,0.96720,0.94205
Agisten_Aloevera_Cream_01%,1.92498,0.98533,0.93965
Nurofen_Quick_Liquid_Capsules_256_16_pil,1.92970,1.00000,0.92970
Nurofen_Liquid_Capsules_200_10_pil_new,1.92994,0.99480,0.93514
Nerven_20_pil,1.93291,0.99187,0.94103
Bepanthen_Plus_Cream_30G,1.93314,0.97799,0.95514
Rennie_Peppermint_48_pil,1.95576,1.00000,0.95576
Fenistil_Gel_0.1%,1.95885,0.98153,0.97732
Acomol_Paracetamol_500_14_pil,1.96074,1.00000,0.96074
Lemocin_Lemon_24_pil,1.97130,1.00000,0.97130
Nurofen_Tablets_200_mg,1.98288,0.99323,0.98966
