product,fitness,box_map50_95,mask_map50_95
ONE_RAW,0.99705,0.55045,0.44660
Dexamol_500_16_pil,1.27926,0.67497,0.60430
Advil_Liqui-Gels_200_16_pil,1.52520,0.79054,0.73465
Fenistil_Gel_0.1%,1.53609,0.82009,0.71600
Nurofen_Quick_Liquid_Capsules_256_16_pil,1.56288,0.78372,0.77916
EMPTY_PUSHER_PRODUCT,1.59014,0.90580,0.68434
Acomol_500_16_pil,1.60654,0.86264,0.74390
Acomol_Paracetamol_500_14_pil,1.64235,0.84262,0.79973
Bepanthen_Plus_Cream_30G,1.67348,0.86467,0.80881
Nurofen_Liquid_Capsules_200_16_pil_new,1.67711,0.87797,0.79915
Agisten_Aloevera_Cream_01%,1.71029,0.89810,0.81218
Nurofen_Liquid_Capsules_200_10_pil_new,1.73098,0.90567,0.82531
Otrivin,1.73347,0.86223,0.87124
Nurofen_Tablets_200_mg,1.73972,0.88882,0.85091
Nurofen_For_Children_20Mg_Orange,1.74930,0.88695,0.86234
Voltaren_emulgel_1%,1.76482,0.90644,0.85838
Nurofen_For_Children_20Mg_Strawberry,1.77935,0.87421,0.90513
Zovirax_Aciclovir_5%_ww,1.85327,0.94324,0.91003
Otrivin_Mentol,1.88817,0.95099,0.93717
Strepsils_honey_and_lemon,1.89244,0.95516,0.93728
Acomol_teva_10_caplets_500_mg,1.89703,0.92079,0.97624
Tums_Smoothies_EX_Berry_fusion,1.91673,0.97917,0.93756
Rennie_Peppermint_48_pil,1.92149,0.98895,0.93255
Nerven_20_pil,1.94979,0.99397,0.95582
Lemocin_Lemon_24_pil,1.96726,1.00000,0.96726
