product,fitness,box_map50_95,mask_map50_95
Dexamol_500_16_pil,1.25539,0.66558,0.58981
Advil_Liqui-Gels_200_16_pil,1.51098,0.78233,0.72865
Fenistil_Gel_0.1%,1.52120,0.80220,0.71900
Acomol_500_16_pil,1.58823,0.84225,0.74598
EMPTY_PUSHER_PRODUCT,1.61385,0.92030,0.69355
Nurofen_For_Children_20Mg_Strawberry,1.62195,0.79519,0.82676
Acomol_Paracetamol_500_14_pil,1.63760,0.85227,0.78533
Nurofen_Quick_Liquid_Capsules_256_16_pil,1.65365,0.83663,0.81701
ONE_RAW,1.65591,0.89141,0.76451
Nurofen_For_Children_20Mg_Orange,1.67413,0.84995,0.82418
Nurofen_Liquid_Capsules_200_16_pil_new,1.68064,0.88767,0.79297
Agisten_Aloevera_Cream_01%,1.68409,0.88665,0.79744
Bepanthen_Plus_Cream_30G,1.70067,0.87287,0.82780
Nurofen_Liquid_Capsules_200_10_pil_new,1.70265,0.89181,0.81084
Otrivin,1.74248,0.86343,0.87905
Voltaren_emulgel_1%,1.74273,0.89229,0.85044
Nurofen_Tablets_200_mg,1.77129,0.90591,0.86538
Acomol_teva_10_caplets_500_mg,1.84158,0.92079,0.92079
Otrivin_Mentol,1.85376,0.92912,0.92464
Zovirax_Aciclovir_5%_ww,1.86138,0.94364,0.91775
Strepsils_honey_and_lemon,1.86751,0.93911,0.92840
Tums_Smoothies_EX_Berry_fusion,1.87324,0.95654,0.91670
Rennie_Peppermint_48_pil,1.92194,0.98005,0.94189
Nerven_20_pil,1.95476,0.99703,0.95773
Lemocin_Lemon_24_pil,1.97837,1.00000,0.97837
