product,fitness,box_map50_95,mask_map50_95
ONE_RAW,1.02463,0.56539,0.45924
Dexamol_500_16_pil,1.44583,0.76821,0.67762
Advil_Liqui-Gels_200_16_pil,1.49884,0.77773,0.72111
Fenistil_Gel_0.1%,1.57909,0.84064,0.73846
Acomol_500_16_pil,1.58704,0.84003,0.74701
Nurofen_Liquid_Capsules_200_16_pil_new,1.58799,0.83997,0.74801
EMPTY_PUSHER_PRODUCT,1.60864,0.92072,0.68792
Acomol_Paracetamol_500_14_pil,1.62124,0.84094,0.78030
Nurofen_For_Children_20Mg_Orange,1.63022,0.82467,0.80555
Nurofen_Quick_Liquid_Capsules_256_16_pil,1.65142,0.86644,0.78498
Bepanthen_Plus_Cream_30G,1.66524,0.85466,0.81059
Acomol_teva_10_caplets_500_mg,1.68273,0.87241,0.81032
Nurofen_For_Children_20Mg_Strawberry,1.68489,0.82563,0.85925
Nurofen_Liquid_Capsules_200_10_pil_new,1.69234,0.88695,0.80539
Agisten_Aloevera_Cream_01%,1.70015,0.89311,0.80704
Voltaren_emulgel_1%,1.72991,0.88925,0.84066
Otrivin,1.74889,0.86802,0.88087
Nurofen_Tablets_200_mg,1.77944,0.90715,0.87229
Zovirax_Aciclovir_5%_ww,1.80573,0.92294,0.88279
Otrivin_Mentol,1.85634,0.93034,0.92600
Strepsils_honey_and_lemon,1.88403,0.96267,0.92136
Tums_Smoothies_EX_Berry_fusion,1.88597,0.97043,0.91554
Rennie_Peppermint_48_pil,1.90908,0.97716,0.93191
Nerven_20_pil,1.93811,0.98428,0.95383
Lemocin_Lemon_24_pil,1.98361,1.00000,0.98361
