product,fitness,box_map50_95,mask_map50_95
Dexamol_500_16_pil,1.28518,0.68467,0.60051
Advil_Liqui-Gels_200_16_pil,1.51330,0.78415,0.72914
Fenistil_Gel_0.1%,1.55741,0.82184,0.73557
EMPTY_PUSHER_PRODUCT,1.59317,0.91085,0.68232
Acomol_500_16_pil,1.59453,0.84957,0.74496
Nurofen_For_Children_20Mg_Strawberry,1.62832,0.79463,0.83370
Acomol_Paracetamol_500_14_pil,1.64190,0.85166,0.79024
Agisten_Aloevera_Cream_01%,1.69118,0.89273,0.79845
Nurofen_For_Children_20Mg_Orange,1.70373,0.85622,0.84752
Nurofen_Liquid_Capsules_200_10_pil_new,1.70395,0.89117,0.81277
Bepanthen_Plus_Cream_30G,1.74920,0.90180,0.84740
Voltaren_emulgel_1%,1.75425,0.90289,0.85137
Otrivin,1.75458,0.86672,0.88786
Nurofen_Liquid_Capsules_200_16_pil_new,1.76528,0.91810,0.84718
Acomol_teva_10_caplets_500_mg,1.76873,0.86909,0.89964
Nurofen_Tablets_200_mg,1.77530,0.90643,0.86887
Strepsils_honey_and_lemon,1.85399,0.93706,0.91694
Otrivin_Mentol,1.85787,0.93207,0.92580
Zovirax_Aciclovir_5%_ww,1.87476,0.94759,0.92718
ONE_RAW,1.88256,0.97298,0.90957
Nurofen_Quick_Liquid_Capsules_256_16_pil,1.89356,0.97946,0.91411
Tums_Smoothies_EX_Berry_fusion,1.90298,0.96870,0.93428
Nerven_20_pil,1.95522,0.99694,0.95828
Rennie_Peppermint_48_pil,1.95802,1.00000,0.95802
Lemocin_Lemon_24_pil,1.98843,1.00000,0.98843
